nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
45,8,0.013125407,-68.194855,-87.49304,2024-12-13 08:01:04.883271040
45,9,-0.015785478,-68.94272,-92.305016,2024-12-13 08:01:12.371578880
45,10,0.021056108,-69.336945,-95.816574,2024-12-13 08:01:19.859876992
45,11,0.0093073435,-69.58141,-98.86771,2024-12-13 08:01:27.348200960
45,12,0.061076023,-69.72331,-101.55776,2024-12-13 08:01:34.836498944
45,13,0.00043052508,-69.79241,-103.95665,2024-12-13 08:01:42.324808960
45,14,0.03943622,-69.80847,-106.11676,2024-12-13 08:01:49.813090944
45,15,0.035951406,-69.784996,-108.078926,2024-12-13 08:01:57.301410944
45,16,0.0014552069,-69.731445,-109.87584,2024-12-13 08:02:04.789696000
45,17,-0.030452387,-69.654495,-111.53418,2024-12-13 08:02:12.278023040
45,18,-0.037974074,-69.55888,-113.076004,2024-12-13 08:02:19.766303872
45,19,-0.003924316,-69.44794,-114.51978,2024-12-13 08:02:27.254614016
45,20,-0.007109895,-69.323944,-115.88115,2024-12-13 08:02:34.742905984
45,21,-0.012747994,-69.18841,-117.173454,2024-12-13 08:02:42.231214976
45,22,1.2100622e-05,-69.0422,-118.40825,2024-12-13 08:02:49.719513856
45,23,0.0044951662,-68.8857,-119.5956,2024-12-13 08:02:57.207819008
45,24,0.035185367,-68.718834,-120.74439,2024-12-13 08:03:04.696116864
45,25,-0.015163788,-68.59581,-121.530075,2024-12-13 08:03:12.184425984
45,26,0.013024344,-68.5044,-122.083336,2024-12-13 08:03:19.672724992
45,27,-0.023591809,-68.35191,-122.95733,2024-12-13 08:03:27.161038976
46,5,0.0,-68.14987,-124.03526,2024-12-13 08:03:34.649330944
46,6,0.0,-67.93349,-125.10251,2024-12-13 08:03:42.137646976
46,7,0.010460493,-67.70076,-126.16487,2024-12-13 08:03:49.625934976
46,8,0.10732797,-67.449165,-127.22793,2024-12-13 08:03:57.114243968
46,9,-0.010462315,-67.17557,-128.29712,2024-12-13 08:04:04.602540928
46,10,0.00798564,-66.87607,-129.37787,2024-12-13 08:04:12.090850944
46,11,0.0034379105,-66.54579,-130.47566,2024-12-13 08:04:19.579153920
46,12,-0.019685827,-66.1786,-131.5962,2024-12-13 08:04:27.067456000
46,13,0.045283042,-65.766655,-132.74554,2024-12-13 08:04:34.555757952
46,14,-0.0028218627,-65.29985,-133.93036,2024-12-13 08:04:42.044058880
46,15,-0.03150279,-64.76482,-135.15831,2024-12-13 08:04:49.532372992
46,16,-0.007471966,-64.14348,-136.43874,2024-12-13 08:04:57.020667008
46,17,0.011184537,-63.41058,-137.78377,2024-12-13 08:05:04.508963968
46,18,0.06563391,-62.529213,-139.21071,2024-12-13 08:05:11.997260928
46,19,-0.011970032,-61.442062,-140.74675,2024-12-13 08:05:19.485566976
46,20,0.0061986665,-59.97151,-142.52986,2024-12-13 08:05:26.973866880
46,21,-0.024604047,-68.62006,-87.366356,2024-12-13 08:05:34.462173952
46,22,0.031833403,-69.37398,-92.26566,2024-12-13 08:05:41.950470912
46,23,-0.045271743,-69.770645,-95.84669,2024-12-13 08:05:49.438777984
46,24,-0.006859549,-70.015854,-98.96083,2024-12-13 08:05:56.927075968
46,25,0.0071480437,-70.15735,-101.707634,2024-12-13 08:06:04.415381888
46,26,-0.018398937,-70.22526,-104.15744,2024-12-13 08:06:11.903687040
46,27,0.043065205,-70.23956,-106.363174,2024-12-13 08:06:19.391996928
46,28,-0.025798079,-70.21396,-108.366264,2024-12-13 08:06:26.880285952
46,29,-0.47786844,-70.158,-110.19995,2024-12-13 08:06:34.368575872
46,30,-0.036839943,-70.07844,-111.89144,2024-12-13 08:06:41.856892032
47,3,0.0,-69.98007,-113.46324,2024-12-13 08:06:49.345222016
47,4,0.0,-69.866264,-114.93424,2024-12-13 08:06:56.833512960
47,5,0.0,-69.73933,-116.32043,2024-12-13 08:07:04.321813888
47,6,0.0,-69.60077,-117.63545,2024-12-13 08:07:11.810103936
47,7,-0.014795578,-69.45147,-118.89112,2024-12-13 08:07:19.298418944
47,8,0.0166669,-69.29181,-120.09772,2024-12-13 08:07:26.786709888
47,9,-0.0017209416,-69.12173,-121.264305,2024-12-13 08:07:34.275020928
47,10,-0.040941548,-68.99641,-122.061676,2024-12-13 08:07:41.763323904
47,11,0.008159789,-68.903336,-122.62292,2024-12-13 08:07:49.251625856
47,12,-0.007233918,-68.74814,-123.50908,2024-12-13 08:07:56.739923968
47,13,-0.015695026,-68.54263,-124.60126,2024-12-13 08:08:04.228233984
47,14,0.021961896,-68.32268,-125.68173,2024-12-13 08:08:11.716528000
47,15,0.052788682,-68.08625,-126.75637,2024-12-13 08:08:19.204836992
47,16,0.046056196,-67.830826,-127.83075,2024-12-13 08:08:26.693134848
47,17,0.04744752,-67.55324,-128.91034,2024-12-13 08:08:34.181453952
47,18,0.059368823,-67.249565,-130.0005,2024-12-13 08:08:41.669743872
47,19,0.18521161,-66.91492,-131.10667,2024-12-13 08:08:49.158059008
47,20,0.2161663,-66.54311,-132.23448,2024-12-13 08:08:56.646350976
47,21,0.05571554,-66.126305,-133.38983,2024-12-13 08:09:04.134656896
47,22,-0.021274583,-65.65431,-134.57922,2024-12-13 08:09:11.622955008
47,23,0.00045339382,-65.11374,-135.81009,2024-12-13 08:09:19.111264000
47,24,-0.049717594,-64.48645,-137.09145,2024-12-13 08:09:26.599567872
47,25,0.040834248,-63.74711,-138.43498,2024-12-13 08:09:34.087878016
47,26,0.016200984,-62.85868,-139.85744,2024-12-13 08:09:41.576169984
47,27,0.0009938418,-61.763676,-141.3852,2024-12-13 08:09:49.064474880
47,28,-0.004124444,-60.283653,-143.1541,2024-12-13 08:09:56.552779008
47,29,-0.0057724733,-69.04504,-87.23077,2024-12-13 08:10:04.041088000
47,30,0.012159114,-69.80522,-92.22104,2024-12-13 08:10:11.529374976
47,31,-0.016641987,-70.204384,-95.87464,2024-12-13 08:10:19.017688960
47,32,0.060381144,-70.45034,-99.05473,2024-12-13 08:10:26.505986944
