nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
43,13,0.012643338,-68.82138,-90.424255,2024-12-07 08:13:44.889740928
43,14,0.015114964,-69.57858,-95.36732,2024-12-07 08:13:52.378049920
43,15,-0.044350836,-69.9766,-98.98297,2024-12-07 08:13:59.866347008
43,16,-0.02957566,-70.22228,-102.128456,2024-12-07 08:14:07.354656896
43,17,0.05426311,-70.36366,-104.90343,2024-12-07 08:14:14.842968960
43,18,0.16464604,-70.43105,-107.37845,2024-12-07 08:14:22.331263872
43,19,0.043637753,-70.444565,-109.60674,2024-12-07 08:14:29.819574016
43,20,0.026391888,-70.41796,-111.63001,2024-12-07 08:14:37.307869952
43,21,0.023063468,-70.36086,-113.4818,2024-12-07 08:14:44.796166912
43,22,0.03633776,-70.280075,-115.18955,2024-12-07 08:14:52.284475904
44,6,0.0,-70.18041,-116.77603,2024-12-07 08:14:59.772774912
44,7,0.011465098,-70.065254,-118.26033,2024-12-07 08:15:07.261085952
44,8,-0.023643447,-69.93692,-119.65859,2024-12-07 08:15:14.749381888
44,9,-0.043865237,-69.796936,-120.98465,2024-12-07 08:15:22.237690880
44,10,-0.035861306,-69.64619,-122.25042,2024-12-07 08:15:29.725986944
44,11,-0.0021963783,-69.48505,-123.46629,2024-12-07 08:15:37.214295936
44,12,0.00032674152,-69.31345,-124.64143,2024-12-07 08:15:44.702593024
44,13,0.0148341395,-69.18706,-125.4444,2024-12-07 08:15:52.190902912
44,14,0.14205705,-69.09321,-126.00945,2024-12-07 08:15:59.679201920
44,15,0.05230481,-68.93675,-126.901405,2024-12-07 08:16:07.167511936
44,16,0.03991735,-68.72964,-128.00034,2024-12-07 08:16:14.655806848
44,17,0.29627123,-68.508026,-129.08705,2024-12-07 08:16:22.144116992
44,18,0.029750861,-68.269905,-130.16743,2024-12-07 08:16:29.632412928
44,19,-0.029439803,-68.01272,-131.24709,2024-12-07 08:16:37.120722944
44,20,0.01859904,-67.733315,-132.33144,2024-12-07 08:16:44.609020032
44,21,-0.02180823,-67.427765,-133.42589,2024-12-07 08:16:52.097356928
44,22,-0.012901046,-67.091156,-134.53581,2024-12-07 08:16:59.585625984
44,23,-0.020779245,-66.71731,-135.66678,2024-12-07 08:17:07.073939968
44,24,0.0045706574,-66.298355,-136.82463,2024-12-07 08:17:14.562232960
44,25,0.080020405,-65.82412,-138.01581,2024-12-07 08:17:22.050545024
44,26,0.00902644,-65.281204,-139.24757,2024-12-07 08:17:29.538839040
44,27,0.20570937,-64.65145,-140.5288,2024-12-07 08:17:37.027150976
44,28,0.040442504,-63.90952,-141.87094,2024-12-07 08:17:44.515454976
44,29,0.013638205,-63.0184,-143.2904,2024-12-07 08:17:52.003755904
45,4,0.0,-61.92061,-144.81316,2024-12-07 08:17:59.492054912
45,5,0.0,-60.437653,-146.57376,2024-12-07 08:18:06.980353920
45,6,0.0,-69.2469,-90.30036,2024-12-07 08:18:14.468661888
45,7,-0.049260642,-70.009636,-95.33294,2024-12-07 08:18:21.956960000
45,8,0.0033683847,-70.409775,-99.02069,2024-12-07 08:18:29.445266048
45,9,0.026858073,-70.655945,-102.231995,2024-12-07 08:18:36.933566976
45,10,0.048636552,-70.796684,-105.06643,2024-12-07 08:18:44.421874944
