nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
46,7,-0.018060194,-67.909454,-89.194176,2024-12-18 08:07:29.894348928
46,8,-0.0029647434,-68.65333,-93.94986,2024-12-18 08:07:37.382662912
46,9,-0.02138806,-69.04593,-97.41674,2024-12-18 08:07:44.870953856
46,10,-0.01488086,-69.289856,-100.427345,2024-12-18 08:07:52.359258880
46,11,0.006085564,-69.43195,-103.0809,2024-12-18 08:07:59.847558912
46,12,-0.0018011602,-69.50177,-105.44703,2024-12-18 08:08:07.335865984
46,13,-0.031578593,-69.5189,-107.57775,2024-12-18 08:08:14.824163968
46,14,0.015662001,-69.49675,-109.51352,2024-12-18 08:08:22.312470016
46,15,-0.008277899,-69.44471,-111.28669,2024-12-18 08:08:29.800769024
46,16,-0.021648401,-69.3694,-112.923584,2024-12-18 08:08:37.289063040
46,17,0.046525344,-69.27552,-114.44598,2024-12-18 08:08:44.777365888
46,18,-0.003633871,-69.16638,-115.87208,2024-12-18 08:08:52.265685888
46,19,-0.024091601,-69.04426,-117.2173,2024-12-18 08:08:59.753987968
46,20,0.014150371,-68.91064,-118.4948,2024-12-18 08:09:07.242289920
46,21,0.010899502,-68.76639,-119.71596,2024-12-18 08:09:14.730579968
46,22,0.059789732,-68.61189,-120.8907,2024-12-18 08:09:22.218890880
46,23,0.020601524,-68.44708,-122.02781,2024-12-18 08:09:29.707176960
46,24,-0.040820785,-68.32552,-122.8058,2024-12-18 08:09:37.195488896
46,25,0.020932436,-68.23518,-123.353806,2024-12-18 08:09:44.683806848
46,26,0.031146267,-68.08442,-124.21977,2024-12-18 08:09:52.172102912
46,27,-0.052716333,-67.8846,-125.28827,2024-12-18 08:09:59.660394880
46,28,0.007819344,-67.6705,-126.34672,2024-12-18 08:10:07.148702976
47,4,0.0,-67.44014,-127.400894,2024-12-18 08:10:14.637001984
47,5,0.0,-67.191,-128.45636,2024-12-18 08:10:22.125308928
47,6,0.0,-66.91997,-129.51855,2024-12-18 08:10:29.613598976
47,7,0.027017241,-66.62315,-130.59291,2024-12-18 08:10:37.101910912
47,8,-0.0036527338,-66.29569,-131.68497,2024-12-18 08:10:44.590207872
47,9,0.035470203,-65.931465,-132.80048,2024-12-18 08:10:52.078520832
47,10,0.009055039,-65.52267,-133.94557,2024-12-18 08:10:59.566813952
47,11,0.03244154,-65.0592,-135.12706,2024-12-18 08:11:07.055122944
47,12,-0.041468266,-64.52773,-136.35275,2024-12-18 08:11:14.543419008
47,13,-0.05133819,-63.91024,-137.63219,2024-12-18 08:11:22.031719936
47,14,0.048705585,-63.1815,-138.97778,2024-12-18 08:11:29.520016000
47,15,-0.00483863,-62.30468,-140.4072,2024-12-18 08:11:37.008318848
47,16,-0.018266829,-61.22258,-141.94823,2024-12-18 08:11:44.496622976
47,17,-0.027839351,-59.75808,-143.74013,2024-12-18 08:11:51.984921984
47,18,-0.0071445443,-68.33481,-89.07198,2024-12-18 08:11:59.473229952
47,19,0.024162417,-69.08465,-93.91298,2024-12-18 08:12:06.961527936
47,20,-0.025861215,-69.47965,-97.4475,2024-12-18 08:12:14.449833984
47,21,0.020860711,-69.72433,-100.519394,2024-12-18 08:12:21.938128896
47,22,-0.05688375,-69.86605,-103.2281,2024-12-18 08:12:29.426438912
47,23,0.007100753,-69.93472,-105.64371,2024-12-18 08:12:36.914737920
47,24,0.008108627,-69.950165,-107.81878,2024-12-18 08:12:44.403043968
47,25,0.009157443,-69.92596,-109.79436,2024-12-18 08:12:51.891339008
47,26,-0.013982322,-69.871574,-111.60332,2024-12-18 08:12:59.379633920
47,27,0.008343986,-69.79373,-113.27251,2024-12-18 08:13:06.867942016
47,28,-0.0033692098,-69.69718,-114.82415,2024-12-18 08:13:14.356247936
47,29,-0.0026192092,-69.585266,-116.27684,2024-12-18 08:13:21.844549888
47,30,0.020771654,-69.460266,-117.646324,2024-12-18 08:13:29.332858880
47,31,-0.006518649,-69.32371,-118.946075,2024-12-18 08:13:36.821149952
48,2,0.0,-69.17645,-120.1877,2024-12-18 08:13:44.309461888
48,3,0.0,-69.018875,-121.38135,2024-12-18 08:13:51.797759872
48,4,0.0,-68.85092,-122.53597,2024-12-18 08:13:59.286063872
48,5,0.0,-68.72712,-123.32548,2024-12-18 08:14:06.774362880
48,6,0.0,-68.63515,-123.88136,2024-12-18 08:14:14.262663040
48,7,-0.019273285,-68.48174,-124.75934,2024-12-18 08:14:21.750981888
48,8,0.10003203,-68.27853,-125.84194,2024-12-18 08:14:29.239277056
48,9,0.0012215495,-68.060936,-126.91352,2024-12-18 08:14:36.727572864
48,10,0.07624965,-67.82696,-127.97991,2024-12-18 08:14:44.215876992
48,11,-0.009021545,-67.57406,-129.04668,2024-12-18 08:14:51.704170880
48,12,0.017528506,-67.29911,-130.1193,2024-12-18 08:14:59.192483840
48,13,-0.011438688,-66.9982,-131.20312,2024-12-18 08:15:06.680793984
48,14,-0.078420326,-66.666435,-132.30368,2024-12-18 08:15:14.169091968
48,15,-0.018860504,-66.297676,-133.4266,2024-12-18 08:15:21.657389952
48,16,-0.0034638094,-65.88407,-134.57793,2024-12-18 08:15:29.145695872
48,17,0.0503383,-65.4155,-135.76427,2024-12-18 08:15:36.633993984
48,18,-0.010899162,-64.87857,-136.9932,2024-12-18 08:15:44.122299904
48,19,-0.023335082,-64.25519,-138.27394,2024-12-18 08:15:51.610594944
48,20,0.04629564,-63.52007,-139.61852,2024-12-18 08:15:59.098910976
48,21,-0.025261993,-62.636257,-141.04399,2024-12-18 08:16:06.587215872
48,22,-0.005822981,-61.546368,-142.57736,2024-12-18 08:16:14.075508992
48,23,0.009836924,-60.07247,-144.35587,2024-12-18 08:16:21.563820928
48,24,-0.016470175,-68.75996,-88.94308,2024-12-18 08:16:29.052115968
48,25,-0.021495169,-69.5159,-93.87245,2024-12-18 08:16:36.540412928
48,26,0.002788045,-69.913345,-97.477356,2024-12-18 08:16:44.028722944
48,27,0.019095326,-70.15876,-100.613144,2024-12-18 08:16:51.517018880
48,28,-0.0027183532,-70.300064,-103.37942,2024-12-18 08:16:59.005315840
48,29,0.022772714,-70.367516,-105.84667,2024-12-18 08:17:06.493623936
48,30,0.08807579,-70.38118,-108.06802,2024-12-18 08:17:13.981920896
48,31,-0.011699123,-70.3548,-110.08508,2024-12-18 08:17:21.470226944
48,32,-0.017204003,-70.29797,-111.93132,2024-12-18 08:17:28.958545920
48,33,0.07363994,-70.21748,-113.63409,2024-12-18 08:17:36.446832896
49,1,0.0,-70.11814,-115.21607,2024-12-18 08:17:43.935129984
49,2,0.0,-70.00332,-116.696304,2024-12-18 08:17:51.423448960
49,3,0.0,-69.875336,-118.09089,2024-12-18 08:17:58.911737856
49,4,0.0,-69.73571,-119.41358,2024-12-18 08:18:06.400046976
49,5,0.0,-69.58533,-120.67628,2024-12-18 08:18:13.888338944
49,6,0.0,-69.42456,-121.889336,2024-12-18 08:18:21.376649984
49,7,0.0073824762,-69.25335,-123.0619,2024-12-18 08:18:28.864941056
49,8,-0.008386193,-69.12723,-123.863174,2024-12-18 08:18:36.353228032
49,9,-0.028132657,-69.03357,-124.42708,2024-12-18 08:18:43.841551872
49,10,-0.050530624,-68.877426,-125.31729,2024-12-18 08:18:51.329862912
49,11,-0.0064052036,-68.67071,-126.4142,2024-12-18 08:18:58.818157952
49,12,-0.026310945,-68.44951,-127.49906,2024-12-18 08:19:06.306467840
49,13,-0.0032114093,-68.21179,-128.57774,2024-12-18 08:19:13.794759936
49,14,0.19600856,-67.95503,-129.65584,2024-12-18 08:19:21.283068928
49,15,-0.015095921,-67.676056,-130.73882,2024-12-18 08:19:28.771366912
49,16,0.045061514,-67.37093,-131.83203,2024-12-18 08:19:36.259682944
49,17,0.017164625,-67.03477,-132.9409,2024-12-18 08:19:43.747996928
49,18,0.024259584,-66.66136,-134.071,2024-12-18 08:19:51.236281984
49,19,0.014512954,-66.24285,-135.22821,2024-12-18 08:19:58.724582016
49,20,-0.0007383503,-65.769066,-136.41898,2024-12-18 08:20:06.212888064
49,21,0.012721105,-65.22656,-137.65065,2024-12-18 08:20:13.701180928
49,22,0.0064893113,-64.597206,-138.9321,2024-12-18 08:20:21.189486976
49,23,-0.029215785,-63.855614,-140.27493,2024-12-18 08:20:28.677790976
49,24,0.070705555,-62.96472,-141.69563,2024-12-18 08:20:36.166101888
49,25,-0.021888476,-61.86696,-143.22037,2024-12-18 08:20:43.654400000
49,26,-0.014736471,-60.383587,-144.98425,2024-12-18 08:20:51.142705920
49,27,0.040254947,-69.18472,-88.80539,2024-12-18 08:20:58.631005952
49,28,0.001486805,-69.94698,-93.82678,2024-12-18 08:21:06.119309952
49,29,-0.02912601,-70.34695,-97.50522,2024-12-18 08:21:13.607608960
49,30,-0.007034987,-70.5931,-100.70786,2024-12-18 08:21:21.095924992
49,31,-0.057312742,-70.73395,-103.5344,2024-12-18 08:21:28.584233984
49,32,0.2893606,-70.8001,-106.0557,2024-12-18 08:21:36.072530944
49,33,-0.008531025,-70.8119,-108.32545,2024-12-18 08:21:43.560821888
49,34,-0.17486134,-70.783226,-110.38585,2024-12-18 08:21:51.049134976
50,1,0.0,-70.72383,-112.27094,2024-12-18 08:21:58.537424896
50,2,0.0,-70.64057,-114.00866,2024-12-18 08:22:06.025733888
50,3,0.0,-70.53831,-115.622185,2024-12-18 08:22:13.514038912
50,4,0.0,-70.420456,-117.130974,2024-12-18 08:22:21.002330880
50,5,0.0,-70.28935,-118.551506,2024-12-18 08:22:28.490644992
50,6,0.031950183,-70.14654,-119.89789,2024-12-18 08:22:35.978941952
50,7,-0.03345497,-69.9929,-121.18227,2024-12-18 08:22:43.467250048
50,8,-0.039489582,-69.82881,-122.41525,2024-12-18 08:22:50.955547008
50,9,-0.013836303,-69.65422,-123.60617,2024-12-18 08:22:58.443854976
50,10,0.008417265,-69.52568,-124.41946,2024-12-18 08:23:05.932150016
50,11,-0.040767055,-69.43028,-124.99154,2024-12-18 08:23:13.420467968
50,12,0.04844527,-69.27131,-125.89418,2024-12-18 08:23:20.908764928
50,13,0.052615963,-69.06097,-127.005585,2024-12-18 08:23:28.397081984
50,14,0.029997757,-68.83604,-128.10384,2024-12-18 08:23:35.885363968
50,15,-0.0029117204,-68.594475,-129.19484,2024-12-18 08:23:43.373678976
50,16,-0.00533787,-68.33373,-130.28424,2024-12-18 08:23:50.861969920
50,17,-0.025378777,-68.05061,-131.37749,2024-12-18 08:23:58.350277888
50,18,0.030925635,-67.74118,-132.4799,2024-12-18 08:24:05.838583040
50,19,0.027740203,-67.4005,-133.59685,2024-12-18 08:24:13.326875008
50,20,0.00092475896,-67.02235,-134.73381,2024-12-18 08:24:20.815188992
50,21,0.000579746,-66.59882,-135.89651,2024-12-18 08:24:28.303499904
50,22,-0.042831153,-66.11972,-137.09122,2024-12-18 08:24:35.791796864
50,23,-0.03400748,-65.57157,-138.32503,2024-12-18 08:24:43.280105984
50,24,-0.013092475,-64.93615,-139.60648,2024-12-18 08:24:50.768400896
50,25,-0.006728724,-64.18801,-140.94675,2024-12-18 08:24:58.256711040
50,26,0.005036633,-63.289974,-142.36171,2024-12-18 08:25:05.745027840
50,27,-0.0028907643,-62.1843,-143.8767,2024-12-18 08:25:13.233325952
