nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
43,7,-0.0067895437,-69.13615,-83.963745,2024-12-03 07:48:18.884105984
43,8,0.020765185,-69.89707,-88.971695,2024-12-03 07:48:26.372411904
43,9,-0.017208304,-70.29646,-92.63967,2024-12-03 07:48:33.860711040
43,10,0.20200534,-70.54237,-95.832924,2024-12-03 07:48:41.349020928
43,11,-0.012484933,-70.68319,-98.651054,2024-12-03 07:48:48.837318912
43,12,-0.049318198,-70.74947,-101.16486,2024-12-03 07:48:56.325627008
43,13,0.022157194,-70.76148,-103.42792,2024-12-03 07:49:03.813923968
43,14,-0.014745084,-70.733116,-105.482346,2024-12-03 07:49:11.302232960
43,15,-0.0076053366,-70.67407,-107.3621,2024-12-03 07:49:18.790528896
43,16,-0.020249374,-70.591194,-109.095024,2024-12-03 07:49:26.278839040
43,17,-0.029801305,-70.48935,-110.70422,2024-12-03 07:49:33.767150976
43,18,0.032547552,-70.371925,-112.2091,2024-12-03 07:49:41.255446912
43,19,-0.002878428,-70.24128,-113.62608,2024-12-03 07:49:48.743755008
43,20,0.0018716261,-70.09893,-114.96922,2024-12-03 07:49:56.232051968
43,21,-0.011617507,-69.94577,-116.25064,2024-12-03 07:50:03.720348032
43,22,-0.01765478,-69.78217,-117.4809,2024-12-03 07:50:11.208658944
43,23,-0.06138953,-69.608086,-118.669304,2024-12-03 07:50:18.696953856
43,24,-0.039357077,-69.479904,-119.48095,2024-12-03 07:50:26.185265920
43,25,0.023616992,-69.38477,-120.05191,2024-12-03 07:50:33.673563008
43,26,-0.005980396,-69.22622,-120.95285,2024-12-03 07:50:41.161873920
43,27,0.01961951,-69.016426,-122.06226,2024-12-03 07:50:48.650167936
43,28,0.014276201,-68.79206,-123.15867,2024-12-03 07:50:56.138474880
44,4,0.0,-68.551094,-124.247986,2024-12-03 07:51:03.626769920
44,5,0.0,-68.29096,-125.33582,2024-12-03 07:51:11.115080960
44,6,0.0,-68.00849,-126.42763,2024-12-03 07:51:18.603377024
