nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
45,7,-0.020270547,-68.31995,-66.83104,2024-12-12 06:38:36.894925952
45,8,-0.023844756,-69.0696,-71.66882,2024-12-12 07:38:36.894925952
45,9,-0.026835097,-69.464554,-75.20083,2024-12-12 08:38:36.894925952
45,10,-0.074734025,-69.70923,-78.270454,2024-12-12 09:38:36.894925952
45,11,0.041217376,-69.851,-80.97715,2024-12-12 10:38:36.894925952
45,12,-0.045619577,-69.91973,-83.39095,2024-12-12 11:38:36.894925952
45,13,0.02677509,-69.93526,-85.56442,2024-12-12 12:38:36.894925952
45,14,0.0332284,-69.91114,-87.53857,2024-12-12 13:38:36.894925952
45,15,0.13662145,-69.856865,-89.34625,2024-12-12 14:38:36.894925952
45,16,-0.013843629,-69.77914,-91.01429,2024-12-12 15:38:36.894925952
45,17,0.008123782,-69.6827,-92.564896,2024-12-12 16:38:36.894925952
45,18,0.028947106,-69.5709,-94.01665,2024-12-12 17:38:36.894925952
45,19,0.03170062,-69.44602,-95.38529,2024-12-12 18:38:36.894925952
45,20,0.031006306,-69.30958,-96.68426,2024-12-12 19:38:36.894925952
45,21,0.019750873,-69.162445,-97.92518,2024-12-12 20:38:36.894925952
45,22,0.007380415,-69.005,-99.11818,2024-12-12 21:38:36.894925952
45,23,0.003331554,-68.837166,-100.2722,2024-12-12 22:38:36.894925952
45,24,-0.017735278,-68.713455,-101.06132,2024-12-12 23:38:36.894925952
45,25,0.030495852,-68.62155,-101.61693,2024-12-13 00:38:36.894925952
45,26,-0.046459325,-68.46825,-102.49451,2024-12-13 01:38:36.894925952
45,27,0.0413525,-68.26517,-103.57664,2024-12-13 02:38:36.894925952
45,28,-0.019821752,-68.04771,-104.64778,2024-12-13 03:38:36.894925952
46,4,0.0,-67.813866,-105.71377,2024-12-13 04:38:36.894925952
46,5,0.0,-67.56112,-106.78018,2024-12-13 05:38:36.894925952
46,6,0.0,-67.286316,-107.852455,2024-12-13 06:38:36.894925952
46,7,-0.02962683,-66.98556,-108.936005,2024-12-13 07:38:36.894925952
46,8,-0.011406859,-66.65396,-110.0363,2024-12-13 08:38:36.894925952
46,9,0.0030475482,-66.28537,-111.15901,2024-12-13 09:38:36.894925952
46,10,0.05323996,-65.87195,-112.310165,2024-12-13 10:38:36.894925952
46,11,0.0043441257,-65.403564,-113.49638,2024-12-13 11:38:36.894925952
46,12,0.060794223,-64.86684,-114.725266,2024-12-13 12:38:36.894925952
46,13,0.09606194,-64.243675,-116.00603,2024-12-13 13:38:36.894925952
46,14,0.18121251,-63.508785,-117.350716,2024-12-13 14:38:36.894925952
46,15,-0.0039874553,-62.625217,-118.77643,2024-12-13 15:38:36.894925952
46,16,0.12696055,-61.535595,-120.31017,2024-12-13 16:38:36.894925952
46,17,0.014734629,-60.062008,-122.08928,2024-12-13 17:38:36.894925952
46,18,0.046260756,-68.74504,-66.70011,2024-12-13 18:38:36.894925952
46,19,-0.015336208,-69.50091,-71.626625,2024-12-13 19:38:36.894925952
46,20,-0.01636622,-69.898346,-75.2292,2024-12-13 20:38:36.894925952
46,21,0.019942155,-70.14379,-78.36286,2024-12-13 21:38:36.894925952
46,22,0.013832171,-70.28516,-81.127205,2024-12-13 22:38:36.894925952
46,23,-0.007677319,-70.352684,-83.59273,2024-12-13 23:38:36.894925952
46,24,0.055941146,-70.36645,-85.812515,2024-12-14 00:38:36.894925952
46,25,0.46227658,-70.340164,-87.828186,2024-12-14 01:38:36.894925952
46,26,0.05982762,-70.28345,-89.673164,2024-12-14 02:38:36.894925952
46,27,-0.16063938,-70.20307,-91.3748,2024-12-14 03:38:36.894925952
46,28,0.018927941,-70.10385,-92.95577,2024-12-14 04:38:36.894925952
46,29,0.036040276,-69.98914,-94.43508,2024-12-14 05:38:36.894925952
46,30,-0.022891909,-69.86129,-95.82883,2024-12-14 06:38:36.894925952
46,31,-0.047268536,-69.72179,-97.15076,2024-12-14 07:38:36.894925952
47,2,0.0,-69.571526,-98.41275,2024-12-14 08:38:36.894925952
47,3,0.0,-69.41089,-99.62516,2024-12-14 09:38:36.894925952
47,4,0.0,-69.2398,-100.79713,2024-12-14 10:38:36.894925952
47,5,0.0,-69.11377,-101.59801,2024-12-14 11:38:36.894925952
47,6,0.0,-69.02018,-102.16165,2024-12-14 12:38:36.894925952
47,7,0.017740982,-68.86414,-103.05146,2024-12-14 13:38:36.894925952
47,8,-0.0035013957,-68.65756,-104.147896,2024-12-14 14:38:36.894925952
47,9,0.021776546,-68.4365,-105.23232,2024-12-14 15:38:36.894925952
