nTimes,nXtrack,ColumnAmountSO2,latitude,longitude,time
45,10,0.0068224585,-68.10287,-81.24848,2024-12-25 07:36:01.883888000
45,11,-0.032173377,-68.84941,-86.04247,2024-12-25 07:36:09.372193920
45,12,-0.010542564,-69.24309,-89.53968,2024-12-25 07:36:16.860485888
45,13,-0.026468726,-69.48735,-92.57774,2024-12-25 07:36:24.348796928
45,14,0.005689138,-69.62928,-95.256,2024-12-25 07:36:31.837088896
45,15,0.019267181,-69.698586,-97.64427,2024-12-25 07:36:39.325395968
45,16,0.22131695,-69.71496,-99.79485,2024-12-25 07:36:46.813687936
45,17,0.014057238,-69.69189,-101.74845,2024-12-25 07:36:54.301998976
45,18,-0.09593045,-69.6388,-103.53765,2024-12-25 07:37:01.790288000
45,19,-0.014311133,-69.56236,-105.18901,2024-12-25 07:37:09.278592896
45,20,0.016865471,-69.46729,-106.72451,2024-12-25 07:37:16.766886016
45,21,-0.054455455,-69.35691,-108.16254,2024-12-25 07:37:24.255201920
45,22,-0.006162683,-69.23351,-109.51864,2024-12-25 07:37:31.743495040
45,23,0.008825746,-69.09857,-110.80612,2024-12-25 07:37:39.231796992
45,24,0.038443867,-68.95299,-112.03647,2024-12-25 07:37:46.720091008
45,25,0.018071739,-68.79711,-113.2197,2024-12-25 07:37:54.208401920
46,5,0.0,-68.6309,-114.36468,2024-12-25 07:38:01.696689920
46,6,0.0,-68.50834,-115.14785,2024-12-25 07:38:09.184993920
46,7,0.011339367,-68.41727,-115.699394,2024-12-25 07:38:16.673303040
46,8,0.024939526,-68.26533,-116.57076,2024-12-25 07:38:24.161611008
46,9,-0.045303706,-68.063995,-117.645615,2024-12-25 07:38:31.649905920
46,10,0.029969368,-67.848335,-118.70998,2024-12-25 07:38:39.138200960
46,11,0.09351809,-67.616356,-119.76966,2024-12-25 07:38:46.626493952
46,12,0.014139656,-67.36555,-120.83022,2024-12-25 07:38:54.114797952
46,13,0.997028,-67.092766,-121.897125,2024-12-25 07:39:01.603092864
46,14,-0.03777319,-66.79412,-122.97578,2024-12-25 07:39:09.091398912
46,15,0.017559975,-66.46474,-124.07168,2024-12-25 07:39:16.579697920
46,16,0.037507053,-66.09849,-125.19055,2024-12-25 07:39:24.068007040
46,17,-0.03134832,-65.68755,-126.338486,2024-12-25 07:39:31.556294016
46,18,0.07773616,-65.22181,-127.52219,2024-12-25 07:39:39.044604928
46,19,0.050079446,-64.68791,-128.74937,2024-12-25 07:39:46.532893952
46,20,0.22826135,-64.0678,-130.02943,2024-12-25 07:39:54.021196032
46,21,0.063006304,-63.336227,-131.37462,2024-12-25 07:40:01.509497984
46,22,0.22847173,-62.45631,-132.80229,2024-12-25 07:40:08.997798016
46,23,-0.013496159,-61.37077,-134.3399,2024-12-25 07:40:16.486097024
46,24,-0.016466927,-59.90215,-136.1258,2024-12-25 07:40:23.974391040
46,25,-0.06732586,-68.527985,-81.12358,2024-12-25 07:40:31.462702976
46,26,0.03950921,-69.28057,-86.00416,2024-12-25 07:40:38.950992896
46,27,0.029492306,-69.67668,-89.570175,2024-12-25 07:40:46.439296000
46,28,0.018052896,-69.92171,-92.67065,2024-12-25 07:40:53.927591936
46,29,-0.017117538,-70.063255,-95.4051,2024-12-25 07:41:01.415910016
46,30,0.043881636,-70.13139,-97.8438,2024-12-25 07:41:08.904194048
47,3,0.0,-70.14606,-100.03957,2024-12-25 07:41:16.392499968
47,4,0.0,-70.12089,-102.033714,2024-12-25 07:41:23.880790912
47,5,0.0,-70.06543,-103.85937,2024-12-25 07:41:31.369084032
47,6,0.0,-69.98641,-105.543594,2024-12-25 07:41:38.857393920
47,7,-0.041322075,-69.888626,-107.10883,2024-12-25 07:41:46.345703936
47,8,-0.029384792,-69.77542,-108.57387,2024-12-25 07:41:53.833998976
47,9,0.05716248,-69.6491,-109.95461,2024-12-25 07:42:01.322302976
47,10,-0.0019232454,-69.511185,-111.26466,2024-12-25 07:42:08.810595968
47,11,-0.045637272,-69.36254,-112.515755,2024-12-25 07:42:16.298903040
47,12,0.14939883,-69.203545,-113.71813,2024-12-25 07:42:23.787192960
47,13,0.06838665,-69.03415,-114.88082,2024-12-25 07:42:31.275501952
47,14,0.006434658,-68.90931,-115.67562,2024-12-25 07:42:38.763800960
47,15,-0.027355915,-68.8166,-116.235115,2024-12-25 07:42:46.252104960
47,16,0.03577964,-68.66197,-117.11861,2024-12-25 07:42:53.740395904
47,17,0.012398689,-68.4572,-118.207664,2024-12-25 07:43:01.228704896
47,18,0.07340741,-68.23801,-119.28524,2024-12-25 07:43:08.716995968
47,19,0.019187704,-68.002365,-120.35718,2024-12-25 07:43:16.205302016
47,20,-0.018974937,-67.74775,-121.42908,2024-12-25 07:43:23.693597952
47,21,-0.026098916,-67.47101,-122.50638,2024-12-25 07:43:31.181928960
47,22,0.04462073,-67.16823,-123.594475,2024-12-25 07:43:38.670212992
47,23,0.06932511,-66.83451,-124.698814,2024-12-25 07:43:46.158525952
47,24,0.017356917,-66.463684,-125.82502,2024-12-25 07:43:53.646804992
47,25,0.07417466,-66.047905,-126.97904,2024-12-25 07:44:01.135106944
47,26,-0.012583774,-65.57702,-128.16743,2024-12-25 07:44:08.623399936
47,27,-0.04360656,-65.03762,-129.39764,2024-12-25 07:44:16.111709056
47,28,-0.029569762,-64.4116,-130.67879,2024-12-25 07:44:23.600011904
47,29,0.019361183,-63.67362,-132.02263,2024-12-25 07:44:31.088326016
47,30,-0.021306451,-62.786686,-133.44603,2024-12-25 07:44:38.576612992
47,31,0.006882663,-61.693344,-134.97559,2024-12-25 07:44:46.064919040
47,32,6.7349094e-05,-60.21532,-136.74754,2024-12-25 07:44:53.553216000
48,2,0.0,-68.95293,-80.990685,2024-12-25 07:45:01.041524992
48,3,0.0,-69.711716,-85.961296,2024-12-25 07:45:08.529811968
48,4,0.0,-70.110306,-89.59911,2024-12-25 07:45:16.018122880
48,5,0.0,-70.35607,-92.76481,2024-12-25 07:45:23.506418944
48,6,0.0,-70.497185,-95.55803,2024-12-25 07:45:30.994713856
48,7,-0.062142663,-70.56407,-98.04945,2024-12-25 07:45:38.483019008
48,8,-0.0018138106,-70.57691,-100.29245,2024-12-25 07:45:45.971320960
48,9,-0.016136061,-70.54952,-102.328896,2024-12-25 07:45:53.459620992
48,10,-0.026911642,-70.491554,-104.19253,2024-12-25 07:46:00.947911936
48,11,0.0023617907,-70.40984,-105.91094,2024-12-25 07:46:08.436221056
48,12,-0.0034377412,-70.309204,-107.50706,2024-12-25 07:46:15.924518912
48,13,0.20168906,-70.19304,-109.000084,2024-12-25 07:46:23.412840064
48,14,0.030008616,-70.063675,-110.4063,2024-12-25 07:46:30.901113984
48,15,-0.0038779923,-69.92263,-111.73963,2024-12-25 07:46:38.389426048
48,16,-0.07038576,-69.770805,-113.01206,2024-12-25 07:46:45.877718016
48,17,-0.017433269,-69.60857,-114.23408,2024-12-25 07:46:53.366019968
48,18,0.024396773,-69.43585,-115.41489,2024-12-25 07:47:00.854314880
48,19,0.0007116521,-69.308655,-116.22157,2024-12-25 07:47:08.342613888
48,20,-0.078336164,-69.214226,-116.789154,2024-12-25 07:47:15.830921984
48,21,-0.0061444337,-69.05682,-117.68497,2024-12-25 07:47:23.319232896
48,22,-0.04379854,-68.848495,-118.788414,2024-12-25 07:47:30.807522944
48,23,0.017112335,-68.62563,-119.87932,2024-12-25 07:47:38.295830912
48,24,0.04548909,-68.386215,-120.96357,2024-12-25 07:47:45.784120960
48,25,-0.00945894,-68.12768,-122.04678,2024-12-25 07:47:53.272429952
48,26,0.010840736,-67.84687,-123.13441,2024-12-25 07:48:00.760731008
48,27,0.023431236,-67.53983,-124.2318,2024-12-25 07:48:08.249040000
48,28,0.028298078,-67.20165,-125.344345,2024-12-25 07:48:15.737332992
48,29,0.03191417,-66.82614,-126.47758,2024-12-25 07:48:23.225636992
48,30,0.072515614,-66.40541,-127.637314,2024-12-25 07:48:30.713931008
48,31,-0.007851164,-65.92927,-128.82991,2024-12-25 07:48:38.202235008
48,32,0.036520686,-65.38427,-130.06259,2024-12-25 07:48:45.690531968
48,33,-0.068485945,-64.75223,-131.34412,2024-12-25 07:48:53.178852864
49,1,0.0,-64.007744,-132.68587,2024-12-25 07:49:00.667153024
49,2,0.0,-63.11371,-134.10405,2024-12-25 07:49:08.155442944
49,3,0.0,-62.01248,-135.62445,2024-12-25 07:49:15.643737856
49,4,0.0,-60.524986,-137.38116,2024-12-25 07:49:23.132046976
49,5,0.0,-69.3779,-80.848854,2024-12-25 07:49:30.620337920
49,6,0.0,-70.143074,-85.9132,2024-12-25 07:49:38.108643968
49,7,0.045569323,-70.5442,-89.62606,2024-12-25 07:49:45.596936960
49,8,0.11029812,-70.79068,-92.86005,2024-12-25 07:49:53.085254016
49,9,0.05212353,-70.9313,-95.714836,2024-12-25 07:50:00.573547904
49,10,-0.03651874,-70.99684,-98.26148,2024-12-25 07:50:08.061852032
49,11,-0.046168108,-71.007744,-100.55389,2024-12-25 07:50:15.550144896
49,12,-0.004817567,-70.978004,-102.63457,2024-12-25 07:50:23.038486912
49,13,-0.08302058,-70.917404,-104.53783,2024-12-25 07:50:30.526742912
49,14,-0.0070162294,-70.83284,-106.291855,2024-12-25 07:50:38.015046016
49,15,0.031817373,-70.72922,-107.920074,2024-12-25 07:50:45.503352960
49,16,0.006257394,-70.60995,-109.44214,2024-12-25 07:50:52.991643904
49,17,0.012040651,-70.477394,-110.874725,2024-12-25 07:51:00.479954944
49,18,-0.03307778,-70.3331,-112.23207,2024-12-25 07:51:07.968244864
49,19,0.008457754,-70.17795,-113.52648,2024-12-25 07:51:15.456555008
49,20,-0.0042541698,-70.01232,-114.768654,2024-12-25 07:51:22.944848896
49,21,0.058461033,-69.83617,-115.96801,2024-12-25 07:51:30.433166976
